INum,SecFOpe,SecIIni,SecIFin,SecFecIni,SecFecFin,SecIBlo,EstFPri,EstFDep,EleTip,EleNom,EleFOpe,EleOpePro,EleOpePotMax,EleOpeCosVar,EleOpeCenRen,EleOpeCosOpe
1,T,1,1,*,*,*,T,F,SecOpeBas,Caso Base,T,*,*,*,*,*
2,T,1,1,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
3,T,2,2,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Arica-Iquique Transelec,T,1.53E-04,*,*,*,*
4,T,2,2,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-2,T,1,*,*,*,*
5,T,2,2,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-1,T,1,*,*,*,*
6,T,2,2,*,*,*,F,T,LinSis,Tarapaca 220 -> Condores 220,F,1,*,*,*,*
7,T,2,2,*,*,*,F,T,LinSis,Parinacota 110 -> Condores 110,T,1,*,*,*,*
8,T,2,2,*,*,*,F,T,LinSis,Pozo Almonte 220 -> Lagunas 220,T,1,*,*,*,*
9,T,2,2,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,T,1,*,*,*,*
10,T,2,2,*,*,*,F,T,LinSis,Arica 110 -> Dolores 110,T,1,*,*,*,*
11,T,2,2,*,*,*,F,T,LinSis,Dolores 110 -> Pozo Almonte 110,T,1,*,*,*,*
12,T,2,2,*,*,*,F,T,LinSis,Arica 110 -> Parinacota 110,T,1,*,*,*,*
13,T,2,2,*,*,*,F,T,LinSis,Iquique 66 -> Cavancha 66,T,1,*,*,*,*
14,T,2,2,*,*,*,F,T,LinSis,Cavancha 66 -> Pozo Almonte 66,T,1,*,*,*,*
15,T,2,2,*,*,*,F,T,LinSis,Iquique 66 -> Pozo Almonte 66,T,1,*,*,*,*
16,T,2,2,*,*,*,F,T,LinSis,Condores 110 -> Iquique 110,T,1,*,*,*,*
17,T,2,2,*,*,*,F,T,LinSis,Condores 110 -> Pozo Almonte 110,T,1,*,*,*,*
18,T,2,2,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
19,T,3,3,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Arica-Iquique Transelec,T,1.53E-04,*,*,*,*
20,T,3,3,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-2,T,1,*,*,*,*
21,T,3,3,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-1,T,1,*,*,*,*
22,T,3,3,*,*,*,F,T,LinSis,Tarapaca 220 -> Condores 220,T,1,*,*,*,*
23,T,3,3,*,*,*,F,T,LinSis,Parinacota 220 -> Condores 220,F,1,*,*,*,*
24,T,3,3,*,*,*,F,T,LinSis,Parinacota 110 -> Condores 110,F,1,*,*,*,*
25,T,3,3,*,*,*,F,T,LinSis,Pozo Almonte 220 -> Lagunas 220,T,1,*,*,*,*
26,T,3,3,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,T,1,*,*,*,*
27,T,3,3,*,*,*,F,T,LinSis,Arica 110 -> Dolores 110,T,1,*,*,*,*
28,T,3,3,*,*,*,F,T,LinSis,Dolores 110 -> Pozo Almonte 110,T,1,*,*,*,*
29,T,3,3,*,*,*,F,T,LinSis,Arica 110 -> Parinacota 110,T,1,*,*,*,*
30,T,3,3,*,*,*,F,T,LinSis,Iquique 66 -> Cavancha 66,T,1,*,*,*,*
